TEAM,G,WIN,LOSE,PTS,PPG,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,RPG,AS,APG,TO,ST,BS,BSR,F,FD,EFF,MINPG
à§ïQ,60,33,27,5047,84.1,1833,4029,45.50%,411,1283,32.00%,970,1377,70.40%,628,1758,2386,39.8,1174,19.6,768,417,134,161,1093,1232,96,200:00:00
FEñºå√âÆ,60,39,21,4964,82.7,1809,3902,46.40%,498,1325,37.60%,848,1168,72.60%,640,1656,2296,38.3,1192,19.9,777,379,155,150,1200,1145,97,200:00:00
ïüâ™,60,47,13,4865,81.1,1806,3915,46.10%,375,1087,34.50%,878,1309,67.10%,708,1657,2365,39.4,1303,21.7,756,462,113,119,1081,1240,97,201:00:00
åFñ{,60,41,19,4863,81.1,1752,3805,46.00%,425,1228,34.60%,934,1267,73.70%,702,1760,2462,41,1232,20.5,857,372,125,125,1165,1235,97,200:00:00
ïüìá,60,38,22,4862,81,1708,3818,44.70%,395,1241,31.80%,1051,1394,75.40%,552,1655,2207,36.8,1137,19,809,419,186,141,1181,1279,92,200:00:00
ê¬êX,60,18,42,4838,80.6,1810,3980,45.50%,507,1418,35.80%,711,1062,66.90%,563,1559,2122,35.4,1129,18.8,826,473,120,148,1091,1071,89,200:00:00
åQîn,60,32,28,4812,80.2,1735,4034,43.00%,470,1388,33.90%,872,1128,77.30%,727,1608,2335,38.9,1171,19.5,691,450,111,164,1082,1128,94,201:00:00
èHìc,60,54,6,4798,80,1758,4024,43.70%,438,1292,33.90%,844,1337,63.10%,953,1491,2444,40.7,1235,20.6,913,717,209,178,1463,1230,96,200:00:00
çLìá,60,33,27,4766,79.4,1756,3958,44.40%,405,1232,32.90%,849,1180,71.90%,587,1695,2282,38,1131,18.9,720,406,208,140,1109,1159,92,200:00:00
êÂë‰,60,21,39,4607,76.8,1725,4017,42.90%,425,1258,33.80%,732,1049,69.80%,678,1720,2398,40,1180,19.7,828,355,136,154,1199,1099,87,200:00:00
ã‡ëÚ,60,28,32,4594,76.6,1708,3920,43.60%,361,1141,31.60%,817,1129,72.40%,596,1686,2282,38,1263,21.1,681,411,151,120,1066,1099,92,201:00:00
àÔèÈ,60,38,22,4576,76.3,1691,3789,44.60%,413,1261,32.80%,781,1080,72.30%,608,1767,2375,39.6,1129,18.8,732,299,170,141,994,1143,90,200:00:00
éRå`,60,25,35,4474,74.6,1628,3877,42.00%,417,1319,31.60%,801,1117,71.70%,709,1600,2309,38.5,1045,17.4,777,401,168,157,1081,1120,84,201:00:00
ìﬁó«,60,19,41,4325,72.1,1663,3657,45.50%,362,981,36.90%,637,914,69.70%,544,1687,2231,37.2,970,16.2,899,357,135,157,1203,987,81,201:00:00
ìåãûZ,60,20,40,4305,71.8,1579,3825,41.30%,447,1360,32.90%,700,1017,68.80%,625,1619,2244,37.4,1118,18.6,836,391,103,145,1247,1106,79,200:00:00
çÅêÏ,60,22,38,4272,71.2,1561,3883,40.20%,354,1213,29.20%,796,1224,65.00%,793,1697,2490,41.5,1107,18.5,821,363,132,176,1104,1161,80,200:00:00
êMèB,60,25,35,4225,70.4,1548,3818,40.50%,452,1506,30.00%,677,960,70.50%,571,1686,2257,37.6,1175,19.6,796,470,200,155,1107,1040,83,201:00:00
ä‚éË,60,7,53,3932,65.5,1563,3864,40.50%,262,996,26.30%,544,819,66.40%,599,1558,2157,36,1018,17,868,415,131,156,1193,932,70,201:00:00
