DAY,VS,OPTS,PTS,3FGM,3FGA,3FG%,2FGM,2FGA,2FG%,FTM,FTA,FT%,F,FO,OR,DR,TR,TO,AS,ST,BS,BSR,DUNK,EFF,MIN
2018.05.07,北海道vs新潟,74,72,5,20,25%,21,31,67.70%,15,24,62.50%,22,22,6,30,36,17,14,4,0,2,1,75,200:00:00
2018.05.06,北海道vs新潟,68,81,9,27,33.30%,24,36,66.70%,6,6,100%,21,12,10,33,43,17,18,3,2,2,1,100,200:00:00
2018.05.02,新潟vs富山,89,85,8,24,33.30%,23,46,50%,15,19,78.90%,21,18,11,30,41,6,17,2,4,4,1,100,200:00:00
2018.04.29,新潟vs三遠,81,84,5,16,31.30%,25,49,51%,19,22,86.40%,19,21,8,29,37,7,14,2,2,1,1,94,200:00:00
2018.04.28,新潟vs三遠,55,75,14,26,53.80%,11,33,33.30%,11,15,73.30%,20,18,6,38,44,11,18,8,5,2,0,101,200:00:00
2018.04.22,島根vs新潟,57,69,7,23,30.40%,20,39,51.30%,8,8,100%,14,14,10,30,40,15,16,8,3,6,1,86,200:00:00
2018.04.21,島根vs新潟,64,77,5,25,20%,27,45,60%,8,11,72.70%,16,17,7,40,47,9,18,6,3,2,0,101,200:00:00
2018.04.15,新潟vs琉球,85,68,8,24,33.30%,17,32,53.10%,10,19,52.60%,26,18,4,24,28,6,17,4,7,2,2,78,200:00:00
2018.04.14,新潟vs琉球,84,88,13,25,52%,15,33,45.50%,19,30,63.30%,15,22,12,23,35,9,17,2,4,4,2,96,200:00:00
2018.04.08,新潟vs名古屋D,82,74,8,24,33.30%,16,33,48.50%,18,24,75%,23,25,9,22,31,12,13,5,0,1,0,72,200:00:00
2018.04.07,新潟vs名古屋D,65,78,8,22,36.40%,23,42,54.80%,8,10,80%,14,14,12,29,41,10,16,8,3,0,0,101,200:00:00
2018.04.01,大阪vs新潟,107,85,8,23,34.80%,18,37,48.60%,25,29,86.20%,13,24,10,21,31,9,14,1,1,0,1,85,200:00:00
2018.03.31,大阪vs新潟,74,69,5,17,29.40%,24,52,46.20%,6,8,75%,17,17,10,22,32,11,13,7,2,9,1,70,200:00:00
2018.03.28,富山vs新潟,92,77,5,23,21.70%,21,45,46.70%,20,23,87%,17,23,13,26,39,12,18,5,4,4,0,86,200:00:00
2018.03.25,新潟vsSR渋谷,84,74,7,29,24.10%,21,42,50%,11,13,84.60%,12,17,14,26,40,12,14,10,0,2,0,81,200:00:00
2018.03.24,新潟vsSR渋谷,69,74,8,23,34.80%,17,40,42.50%,16,24,66.70%,18,20,10,33,43,13,11,7,2,1,0,78,200:00:00
2018.03.18,三遠vs新潟,73,85,8,21,38.10%,23,42,54.80%,15,18,83.30%,19,14,5,29,34,9,17,11,1,4,0,104,200:00:00
2018.03.17,三遠vs新潟,88,66,2,19,10.50%,25,47,53.20%,10,15,66.70%,16,17,11,27,38,13,15,5,1,2,0,68,200:00:00
2018.03.11,横浜vs新潟,91,95,11,24,45.80%,22,43,51.20%,18,22,81.80%,19,24,12,27,39,12,18,3,3,6,0,108,200:00:00
2018.03.10,横浜vs新潟,93,96,9,20,45%,23,42,54.80%,23,29,79.30%,21,22,8,23,31,11,24,4,0,2,1,108,200:00:00
2018.03.04,新潟vsA東京,72,81,10,23,43.50%,21,43,48.80%,9,14,64.30%,19,20,12,29,41,8,22,6,4,2,1,106,200:00:00
2018.03.03,新潟vsA東京,92,99,11,23,47.80%,23,44,52.30%,20,22,90.90%,17,23,8,28,36,8,18,7,3,3,0,120,225:00:00
2018.02.18,新潟vs名古屋D,72,91,10,26,38.50%,24,41,58.50%,13,18,72.20%,16,16,11,25,36,9,27,14,0,5,0,121,200:00:00
2018.02.17,新潟vs名古屋D,83,72,4,25,16%,25,49,51%,10,12,83.30%,15,10,12,21,33,7,17,9,3,2,2,80,200:00:00
2018.02.10,京都vs新潟,94,92,11,26,42.30%,18,34,52.90%,23,28,82.10%,25,19,9,19,28,9,19,2,2,1,1,98,200:00:00
2018.02.09,京都vs新潟,89,93,8,21,38.10%,28,46,60.90%,13,14,92.90%,22,19,6,29,35,12,22,6,2,2,0,114,200:00:00
2018.02.04,新潟vs横浜,72,79,4,21,19%,23,45,51.10%,21,25,84%,18,22,13,27,40,10,18,6,2,5,2,92,200:00:00
2018.02.03,新潟vs横浜,86,81,9,28,32.10%,19,33,57.60%,16,24,66.70%,23,21,10,27,37,21,19,7,4,6,0,86,200:00:00
2018.01.28,新潟vs三河,70,72,9,28,32.10%,15,32,46.90%,15,18,83.30%,20,18,6,27,33,7,10,5,3,3,0,77,200:00:00
2018.01.27,新潟vs三河,83,77,6,25,24%,25,40,62.50%,9,10,90%,22,15,6,22,28,11,13,8,1,3,1,81,200:00:00
2018.01.21,名古屋Dvs新潟,72,84,10,26,38.50%,25,42,59.50%,4,6,66.70%,15,15,9,30,39,8,22,3,2,2,1,107,200:00:00
2018.01.20,名古屋Dvs新潟,81,78,7,20,35%,24,42,57.10%,9,11,81.80%,17,15,5,28,33,15,12,5,3,1,0,83,200:00:00
2017.12.30,新潟vs栃木,99,80,9,25,36%,19,39,48.70%,15,20,75%,18,17,11,25,36,15,15,3,0,3,0,78,200:00:00
2017.12.29,新潟vs栃木,71,62,3,20,15%,19,40,47.50%,15,17,88.20%,16,20,10,32,42,15,8,4,4,4,0,65,200:00:00
2017.12.24,新潟vs富山,96,80,9,28,32.10%,18,44,40.90%,17,20,85%,18,19,15,31,46,9,23,1,1,7,0,94,200:00:00
2017.12.23,新潟vs富山,86,76,4,16,25%,23,43,53.50%,18,22,81.80%,18,20,12,21,33,11,13,5,3,3,0,83,200:00:00
2017.12.20,横浜vs新潟,82,90,4,8,50%,27,48,56.30%,24,30,80%,14,23,11,28,39,16,14,5,4,6,1,105,200:00:00
2017.12.17,三河vs新潟,94,78,7,25,28%,25,49,51%,7,12,58.30%,21,16,16,26,42,10,12,3,3,2,1,81,200:00:00
2017.12.16,三河vs新潟,104,94,8,27,29.60%,29,44,65.90%,12,16,75%,16,18,12,17,29,5,20,4,2,2,1,106,200:00:00
2017.12.10,西宮vs新潟,100,85,6,21,28.60%,18,32,56.30%,31,36,86.10%,21,28,6,24,30,16,21,6,2,5,0,94,200:00:00
2017.12.09,西宮vs新潟,86,108,15,27,55.60%,26,39,66.70%,11,15,73.30%,18,17,11,29,40,12,29,5,3,3,0,144,200:00:00
2017.12.03,新潟vs千葉,90,81,5,15,33.30%,25,43,58.10%,16,24,66.70%,16,19,6,27,33,18,16,7,0,4,2,83,200:00:00
2017.12.02,新潟vs千葉,82,77,9,16,56.30%,19,44,43.20%,12,17,70.60%,22,16,10,29,39,18,14,3,1,4,0,79,200:00:00
2017.11.21,滋賀vs新潟,71,82,5,19,26.30%,23,46,50%,21,25,84%,13,19,12,25,37,7,19,10,1,1,3,101,200:00:00
2017.11.20,滋賀vs新潟,64,86,9,27,33.30%,19,39,48.70%,21,23,91.30%,17,21,13,29,42,8,13,5,1,4,2,99,200:00:00
2017.11.12,新潟vs三河,98,84,10,28,35.70%,22,38,57.90%,10,14,71.40%,23,15,7,18,25,6,21,4,1,3,1,91,200:00:00
2017.11.11,新潟vs三河,84,80,13,25,52%,15,40,37.50%,11,14,78.60%,23,15,5,25,30,8,16,3,4,3,0,85,200:00:00
2017.11.05,富山vs新潟,81,66,2,24,8.30%,24,45,53.30%,12,17,70.60%,12,22,12,26,38,8,17,4,6,4,1,75,200:00:00
2017.11.04,富山vs新潟,86,95,5,13,38.50%,34,52,65.40%,12,14,85.70%,17,19,9,29,38,13,18,6,1,3,5,117,200:00:00
2017.10.28,川崎vs新潟,70,72,10,27,37%,15,35,42.90%,12,15,80%,15,16,8,31,39,8,14,2,1,1,1,80,200:00:00
2017.10.27,川崎vs新潟,93,78,9,22,40.90%,18,37,48.60%,15,19,78.90%,16,17,7,28,35,15,15,2,3,2,3,82,200:00:00
2017.10.25,新潟vs横浜,63,70,4,28,14.30%,20,38,52.60%,18,21,85.70%,12,23,14,33,47,8,13,6,2,3,0,85,200:00:00
2017.10.22,新潟vs北海道,85,79,11,32,34.40%,15,33,45.50%,16,18,88.90%,22,18,16,23,39,13,16,4,1,1,2,85,200:00:00
2017.10.21,新潟vs北海道,84,81,9,21,42.90%,18,36,50%,18,23,78.30%,23,18,10,28,38,19,16,4,1,0,0,86,200:00:00
2017.10.15,三遠vs新潟,90,88,5,21,23.80%,27,45,60%,19,22,86.40%,20,19,10,27,37,10,10,3,0,0,0,91,225:00:00
2017.10.14,三遠vs新潟,79,76,7,19,36.80%,24,45,53.30%,7,12,58.30%,18,18,8,23,31,8,12,5,1,3,1,79,200:00:00
2017.10.10,A東京vs新潟,95,97,8,26,30.80%,31,50,62%,11,12,91.70%,18,15,15,23,38,5,8,5,1,5,0,106,225:00:00
2017.10.09,A東京vs新潟,78,72,9,16,56.30%,17,45,37.80%,11,16,68.80%,19,21,10,18,28,11,10,5,1,5,0,65,200:00:00
2017.10.01,新潟vs島根,55,87,11,18,61.10%,20,47,42.60%,14,17,82.40%,14,16,9,29,38,12,20,9,3,4,1,108,200:00:00
2017.09.30,新潟vs島根,75,82,9,28,32.10%,19,44,43.20%,17,19,89.50%,11,19,13,27,40,11,10,7,4,5,0,86,200:00:00
