TEAM,G,WIN,LOSE,WINRATE,SALARY,SPONSOR,TICKET,PTS,PPG,3FGM,3FGA,3FG%,2FGM,2FGA,2FG%,FGM,FGA,FG%,FTM,FTA,FT%,F,FO,OR,DR,TR,TO,AS,ST,BS,BSR,EFF,MIN
êÏçË,60,49,11,82%,221247,639706,77649,5057,84.3,438,1192,36.70%,1452,2712,53.50%,1890,3904,48.40%,839,1110,75.60%,925,1115,682,1711,2393,689,1064,348,142,168,101,200:50:00
éOâÕ,60,46,14,77%,325024,698666,68911,4936,82.3,405,1071,37.80%,1491,2883,51.70%,1896,3954,48%,739,1019,72.50%,1009,1061,782,1703,2485,645,868,293,175,135,96,200:25:00
êÁót,60,44,16,73%,369502,417999,281111,4935,82.3,567,1591,35.60%,1249,2349,53.20%,1816,3940,46.10%,736,1026,71.70%,1030,1064,715,1571,2286,703,923,445,254,143,95,200:25:00
Aìåãû,60,44,16,73%,327448,390429,175244,4884,81.4,476,1354,35.20%,1316,2662,49.40%,1792,4016,44.60%,824,1082,76.20%,957,1134,649,1657,2306,526,783,394,164,152,92,201:15:00
ì»ñÿ,60,46,14,77%,367072,377325,272467,4829,80.5,357,1112,32.10%,1502,3097,48.50%,1859,4209,44.20%,754,1096,68.80%,1038,1083,936,1672,2608,605,990,423,185,204,96,200:50:00
êVäÉ,60,27,33,45%,97020,151807,102305,4670,77.8,409,1221,33.50%,1307,2765,47.30%,1716,3986,43.10%,829,1086,76.30%,1089,1110,616,1582,2198,626,723,366,182,205,83,201:15:00
ñºå√âÆD,60,27,33,45%,224711,408947,93084,4639,77.3,487,1451,33.60%,1203,2506,48%,1690,3957,42.70%,772,1027,75.20%,1060,1140,619,1699,2318,651,723,403,226,161,86,204:10:00
éOâì,60,33,27,55%,187528,305585,97103,4581,76.4,434,1259,34.50%,1311,2608,50.30%,1745,3867,45.10%,657,933,70.40%,1085,1052,545,1739,2284,688,856,286,186,157,85,202:30:00
ïxéR,60,18,42,30%,122075,161626,117424,4551,75.9,331,1057,31.30%,1397,3016,46.30%,1728,4073,42.40%,764,1026,74.50%,1199,1094,760,1582,2342,730,817,413,165,177,83,201:15:00
óÆãÖ,60,29,31,48%,230644,365471,228745,4536,75.6,414,1260,32.90%,1275,2715,47%,1689,3975,42.50%,744,971,76.60%,1100,1048,642,1688,2330,763,771,372,206,184,82,201:15:00
SRèaíJ,60,32,28,53%,170291,265389,120437,4488,74.8,474,1440,32.90%,1215,2538,47.90%,1689,3978,42.50%,636,904,70.40%,976,990,772,1592,2364,728,874,477,139,159,84,202:05:00
ãûìs,60,25,35,42%,144878,203957,91089,4487,74.8,379,1119,33.90%,1305,2704,48.30%,1684,3823,44%,740,1038,71.30%,1207,1139,661,1497,2158,739,753,424,145,171,80,201:15:00
é†âÍ,60,21,39,35%,129235,215386,112741,4468,74.5,485,1435,33.80%,1192,2463,48.40%,1677,3898,43%,629,873,72.10%,1093,1022,600,1665,2265,725,778,327,125,169,80,200:50:00
ëÂç„,60,28,32,47%,179919,711012,109272,4466,74.4,473,1322,35.80%,1189,2615,45.50%,1662,3937,42.20%,669,947,70.60%,1097,1054,726,1616,2342,757,751,391,254,186,82,202:05:00
ñkäCìπ,60,23,37,38%,106410,170461,143130,4421,73.7,325,962,33.80%,1358,2862,47.40%,1683,3824,44%,730,950,76.80%,1207,1065,637,1486,2123,799,966,422,195,197,83,202:05:00
â°ïl,60,16,44,27%,118543,308569,120629,4366,72.8,348,1104,31.50%,1327,2733,48.60%,1675,3837,43.70%,668,997,67%,1015,1060,626,1566,2192,704,750,319,136,174,76,201:15:00
èHìc,60,18,42,30%,177492,270388,176090,4224,70.4,455,1329,34.20%,1126,2394,47%,1581,3723,42.50%,607,887,68.40%,1125,991,681,1573,2254,803,723,378,117,220,75,202:30:00
êÂë‰,60,14,46,23%,113848,178174,142384,4052,67.5,325,1197,27.20%,1261,2843,44.40%,1586,4040,39.30%,555,796,69.70%,1183,932,742,1582,2324,758,630,335,200,233,68,200:25:00
